NAME,RATING,PHONE,WEBSITE,GOOGLE_MAPS_LINK
Proplast sousse,"5,0",36 401 891,Checking...,https://www.google.com/maps/place/Proplast+sousse/data=!4m7!3m6!1s0x1302750d5e115e5b:0x8cc3687cb6b758e0!8m2!3d35.8250625!4d10.6338125!16s%2Fg%2F11vbjd0fs8!19sChIJW14RXg11AhMR4Fi3tnxow4w?authuser=0&hl=fr&rclk=1
Domiciliation Tunisie (Agence Sousse),"4,9",73 204 614,Checking...,https://www.google.com/maps/place/Domiciliation+Tunisie+%28Agence+Sousse%29/data=!4m7!3m6!1s0x12fd8af50460e8d9:0x6f4ef245cb1b4ff7!8m2!3d35.8370022!4d10.6318281!16s%2Fg%2F11cmd0zyzq!19sChIJ2ehgBPWK_RIR908by0XyTm8?authuser=0&hl=fr&rclk=1
Ste immobiliere le miroir du sahel,"5,0",46 503 000,Checking...,https://www.google.com/maps/place/Ste+immobiliere+le+miroir+du+sahel/data=!4m7!3m6!1s0x130275a2d59de20f:0x105f0b2f95a2c1e8!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11yqpr5pwp!19sChIJD-Kd1aJ1AhMR6MGilS8LXxA?authuser=0&hl=fr&rclk=1
Électricien bâtiment sousse,"5,0",58 787 810,Checking...,https://www.google.com/maps/place/%C3%89lectricien+b%C3%A2timent+sousse/data=!4m7!3m6!1s0x130275900166962f:0xaf42b1fa6adf6fcd!8m2!3d35.8312953!4d10.6252563!16s%2Fg%2F11v_92x53w!19sChIJL5ZmAZB1AhMRzW_favqxQq8?authuser=0&hl=fr&rclk=1
Société Joud Informatique,"5,0",54 100 041,Checking...,https://www.google.com/maps/place/Soci%C3%A9t%C3%A9+Joud+Informatique/data=!4m7!3m6!1s0x130275a744209547:0xeda7f6500dd0bd66!8m2!3d35.8312866!4d10.625431!16s%2Fg%2F11t3m_3fkt!19sChIJR5UgRKd1AhMRZr3QDVD2p-0?authuser=0&hl=fr&rclk=1
Etude Tunisie,N/A,23 155 941,Checking...,https://www.google.com/maps/place/Etude+Tunisie/data=!4m7!3m6!1s0x130275d46c8aca91:0x3abe74820a6058d1!8m2!3d35.823817!4d10.6347835!16s%2Fg%2F11r7m_3nnf!19sChIJkcqKbNR1AhMR0VhgCoJ0vjo?authuser=0&hl=fr&rclk=1
BM Company,"5,0",99 651 388,Checking...,https://www.google.com/maps/place/BM+Company/data=!4m7!3m6!1s0x130275ff09f458c5:0x62709c115d2397fa!8m2!3d35.8248838!4d10.6318734!16s%2Fg%2F11l5c8mhld!19sChIJxVj0Cf91AhMR-pcjXRGccGI?authuser=0&hl=fr&rclk=1
Sousse,"4,0",99 813 890,Checking...,https://www.google.com/maps/place/Sousse/data=!4m7!3m6!1s0x13027564840b1593:0xd31748511649bfe6!8m2!3d35.8242504!4d10.636919!16s%2Fg%2F11hvdhkhhh!19sChIJkxULhGR1AhMR5r9JFlFIF9M?authuser=0&hl=fr&rclk=1
Code Hub - Coworking Space Sousse,"4,5",53 403 522,Checking...,https://www.google.com/maps/place/Code+Hub+-+Coworking+Space+Sousse/data=!4m7!3m6!1s0x13027501f7a31391:0x50dfb49e823c4f1f!8m2!3d35.8311495!4d10.6255641!16s%2Fg%2F11n32_v6j0!19sChIJkROj9wF1AhMRH088gp6031A?authuser=0&hl=fr&rclk=1
SITEX Sousse,"5,0",98 751 877,Checking...,https://www.google.com/maps/place/SITEX+Sousse/data=!4m7!3m6!1s0x1302756b85c5c777:0x103dff7f0fcec369!8m2!3d35.809851!4d10.635753!16s%2Fg%2F11h5pdd5h5!19sChIJd8fFhWt1AhMRacPOD3__PRA?authuser=0&hl=fr&rclk=1
